,AAPL,AAPL,AAPL,AAPL,AAPL,JPM,JPM,JPM,JPM,JPM,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,
2021-05-03 09:30:00-04:00,132.04,132.12,131.83,132.07,26909,154.85,155.035,154.75,154.915,3493.0,253.4,253.67,253.195,253.195,8010.0
2021-05-03 09:31:00-04:00,132.08,132.27,131.99,132.18,18976,154.81,154.81,154.505,154.505,3162.0,253.25,253.45,253.25,253.33,1967.0
2021-05-03 09:32:00-04:00,132.19,132.4,132.18,132.32,9883,154.49,154.52,154.44,154.47,3645.0,253.37,253.51,253.22,253.22,3507.0
2021-05-03 09:33:00-04:00,132.34,132.64,132.23,132.63,11583,154.37,154.41,154.29,154.41,1691.0,253.175,253.41,253.09,253.4,7764.0
2021-05-03 09:34:00-04:00,132.645,132.73,132.575,132.665,10279,154.36,154.4,154.36,154.4,545.0,253.3,253.41,253.11,253.11,2470.0
2021-05-03 09:35:00-04:00,132.65,132.65,132.44,132.51,17530,154.44,154.49,154.44,154.49,638.0,252.95,252.98,252.485,252.5,7503.0
2021-05-03 09:36:00-04:00,132.51,132.715,132.43,132.715,11861,154.505,154.6,154.505,154.6,1220.0,252.46,252.49,252.29,252.39,4419.0
2021-05-03 09:37:00-04:00,132.71,132.75,132.52,132.55,13840,154.62,154.67,154.58,154.58,612.0,252.27,252.27,251.97,251.97,3188.0
2021-05-03 09:38:00-04:00,132.52,132.52,132.38,132.44,5771,154.49,154.58,154.49,154.58,622.0,252.045,252.045,251.815,251.895,3352.0
2021-05-03 09:39:00-04:00,132.47,132.65,132.465,132.59,4758,154.505,154.55,154.49,154.55,876.0,252.11,252.175,252.01,252.1,3767.0
2021-05-03 09:40:00-04:00,132.61,132.61,132.52,132.6,5916,154.59,154.77,154.59,154.77,654.0,252.08,252.18,251.885,252.17,3857.0
2021-05-03 09:41:00-04:00,132.625,132.695,132.535,132.66,3993,154.79,154.92,154.79,154.9,1410.0,252.25,252.4,252.16,252.355,3345.0
2021-05-03 09:42:00-04:00,132.65,132.84,132.63,132.81,7978,154.99,155.1,154.98,155.07,1768.0,252.4,252.46,252.335,252.335,1835.0
2021-05-03 09:43:00-04:00,132.795,132.81,132.74,132.76,3340,155.12,155.12,155.025,155.025,949.0,252.39,252.44,252.305,252.44,6126.0
2021-05-03 09:44:00-04:00,132.755,132.915,132.75,132.9,3771,155.05,155.05,154.93,154.93,414.0,252.55,252.63,252.55,252.58,2190.0
2021-05-03 09:45:00-04:00,132.91,132.945,132.82,132.88,2928,154.96,154.99,154.95,154.95,787.0,252.54,252.58,252.28,252.28,2487.0
2021-05-03 09:46:00-04:00,132.8,132.8,132.69,132.705,3472,154.85,154.91,154.85,154.9,1046.0,252.25,252.465,252.15,252.465,5755.0
2021-05-03 09:47:00-04:00,132.64,132.77,132.64,132.665,3398,154.83,154.97,154.83,154.97,2274.0,252.39,252.46,252.38,252.44,2640.0
2021-05-03 09:48:00-04:00,132.69,132.95,132.68,132.95,6278,155.15,155.24,155.15,155.24,836.0,252.45,252.63,252.425,252.57,4125.0
